Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
91.75,91.7810,0.0010,*,,,494 261.17,-,603 216.21,1s2p,3P°,1,1s8d,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
91.75,91.7813,0.0010,*,,,494 261.17,-,603 215.82,1s2p,3P°,1,1s8d,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
91.75,91.7823,0.0010,*,,,494 263.44,-,603 216.87,1s2p,3P°,2,1s8d,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
91.75,91.7829,0.0010,*,,,494 263.44,-,603 216.21,1s2p,3P°,2,1s8d,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
91.75,91.7832,0.0010,*,,,494 263.44,-,603 215.82,1s2p,3P°,2,1s8d,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
91.75,91.7859,0.0010,*,,,494 266.57,-,603 215.82,1s2p,3P°,0,1s8d,3D,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5863,0.0010,*,4.6005e+07,AAA,494 261.17,-,601 114.45,1s2p,3P°,1,1s7d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5866,0.0010,*,2.5561e+07,AAA,494 261.17,-,601 114.06,1s2p,3P°,1,1s7d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5877,0.0010,*,6.1346e+07,AAA,494 263.44,-,601 115.11,1s2p,3P°,2,1s7d,3D,3,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5883,0.0010,*,1.5335e+07,AAA,494 263.44,-,601 114.45,1s2p,3P°,2,1s7d,3D,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5886,0.0010,*,1.7041e+06,AAA,494 263.44,-,601 114.06,1s2p,3P°,2,1s7d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
93.6,93.5913,0.0010,*,3.4081e+07,AAA,494 266.57,-,601 114.06,1s2p,3P°,0,1s7d,3D,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3698&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=3698&amp;type=
,93.8897,0.0010,,9.581e+01,AA,491 374.6,-,597 882.52,1s2s,1S,0,1s6d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=7378&amp;comment_code=&amp;element=Li&amp;spectr_charge=2&amp;ref=7378&amp;type=E2,
,93.931,0.010,,4.2318e+07,AAA,491 374.6,-,597 836.,1s2s,1S,0,1s6p,1P°,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,94.0002,0.0010,,5.7715e+06,AAA,494 261.17,-,600 643.90,1s2p,3P°,1,1s7s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,94.0022,0.0010,,9.6195e+06,AAA,494 263.44,-,600 643.90,1s2p,3P°,2,1s7s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
,94.0050,0.0010,,1.9238e+06,AAA,494 266.57,-,600 643.90,1s2p,3P°,0,1s7s,3S,1,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8636&amp;comment_code=c73&amp;element=Li&amp;spectr_charge=2&amp;ref=8636&amp;type=,
